topicNum, rank, pmcid, score
16, 1, 3437700, 0.22458138
16, 2, 3512824, 0.21292414
16, 3, 3446042, 0.21291806
16, 4, 3056414, 0.21048065
16, 5, 3867463, 0.20514819
16, 6, 3020588, 0.2041003
16, 7, 3354145, 0.2035151
16, 8, 3793530, 0.19329508
16, 9, 3091372, 0.19302356
16, 10, 3121719, 0.18604629
16, 11, 2740259, 0.17528957
16, 12, 2740342, 0.17421217
16, 13, 3579090, 0.17239735
16, 14, 3131249, 0.16736054
16, 15, 3447230, 0.16435042
16, 16, 1262688, 0.16279188
16, 17, 3156525, 0.1622244
16, 18, 3523515, 0.15888569
16, 19, 2914661, 0.15753359
16, 20, 3178520, 0.15736364
16, 21, 3715333, 0.15616125
16, 22, 3276800, 0.15417926
16, 23, 3723480, 0.15291189
16, 24, 2265727, 0.15287681
16, 25, 3259402, 0.15273963
16, 26, 3610453, 0.1519174
16, 27, 2737762, 0.14993478
16, 28, 3723546, 0.14888476
16, 29, 2918633, 0.1460337
16, 30, 3643629, 0.14524908
16, 31, 2446605, 0.14452858
16, 32, 3699354, 0.14396681
16, 33, 2946550, 0.14259382
16, 34, 3513002, 0.14236996
16, 35, 2887820, 0.14208011
16, 36, 3590522, 0.14150026
16, 37, 3139356, 0.14102831
16, 38, 2740203, 0.14038979
16, 39, 2292492, 0.13969229
16, 40, 3221853, 0.13897769
16, 41, 3072174, 0.13833463
16, 42, 3258229, 0.13477215
16, 43, 3469960, 0.13476628
16, 44, 2627235, 0.1345354
16, 45, 2709971, 0.13419463
16, 46, 3019339, 0.13410649
16, 47, 3813689, 0.13288498
16, 48, 3468355, 0.13274935
16, 49, 2636806, 0.1325434
16, 50, 3633282, 0.13223846
16, 51, 3137846, 0.13175605
16, 52, 3286783, 0.1313147
16, 53, 3132918, 0.13109829
16, 54, 3649312, 0.1301256
16, 55, 3429831, 0.12936847
16, 56, 3128727, 0.12903135
16, 57, 2994631, 0.12902877
16, 58, 3841599, 0.1287208
16, 59, 3651148, 0.12819834
16, 60, 3315259, 0.12798497
16, 61, 3551508, 0.12788539
16, 62, 3846215, 0.12732479
16, 63, 2687000, 0.12714499
16, 64, 2614981, 0.12694266
16, 65, 3754400, 0.12654895
16, 66, 2952611, 0.12639391
16, 67, 1247603, 0.12560043
16, 68, 3229050, 0.12511045
16, 69, 3126734, 0.1250769
