topicNum, rank, pmcid, score
24, 1, 3716031, 0.44580412
24, 2, 3206111, 0.43390885
24, 3, 2629964, 0.41400057
24, 4, 3814911, 0.41190305
24, 5, 3833587, 0.4078791
24, 6, 2908671, 0.37795955
24, 7, 3530759, 0.36359462
24, 8, 2804020, 0.35985968
24, 9, 3730183, 0.34696805
24, 10, 3300901, 0.34658325
24, 11, 3722985, 0.3463498
24, 12, 3879514, 0.34243158
24, 13, 1112595, 0.3370004
24, 14, 2803948, 0.33219734
24, 15, 2946729, 0.32635853
24, 16, 3424873, 0.3218741
24, 17, 3814076, 0.32034302
24, 18, 3651148, 0.31906155
24, 19, 3170633, 0.31743225
24, 20, 3662168, 0.31733087
24, 21, 3782346, 0.31645623
24, 22, 3213720, 0.31464618
24, 23, 3580369, 0.31399253
24, 24, 3276036, 0.31366646
24, 25, 3789906, 0.31272063
24, 26, 3463094, 0.31063482
24, 27, 3270293, 0.3102286
24, 28, 3853387, 0.30870968
24, 29, 3258820, 0.30828172
24, 30, 3632018, 0.30268586
24, 31, 3305576, 0.2993979
24, 32, 3131759, 0.29656476
24, 33, 3638545, 0.2903113
24, 34, 2760694, 0.29016536
24, 35, 3113182, 0.28897393
24, 36, 3775200, 0.2863663
24, 37, 3025133, 0.28400534
24, 38, 3015255, 0.28349137
24, 39, 2941259, 0.28183
24, 40, 1524788, 0.27980006
24, 41, 3745931, 0.27918538
24, 42, 3637271, 0.27865955
24, 43, 2988179, 0.27756235
24, 44, 1413549, 0.27741408
24, 45, 3608317, 0.27331552
24, 46, 1936425, 0.27325678
24, 47, 2531110, 0.2731797
24, 48, 2740155, 0.27226847
24, 49, 2774533, 0.272122
24, 50, 3235990, 0.27144757
24, 51, 3669561, 0.27113014
24, 52, 3271399, 0.2710701
24, 53, 2860418, 0.27036148
24, 54, 2803987, 0.2702098
24, 55, 2517066, 0.26797262
24, 56, 2567296, 0.26615718
24, 57, 2542401, 0.26476777
24, 58, 3415813, 0.2639646
24, 59, 3465864, 0.26291946
24, 60, 3265990, 0.2628914
24, 61, 3359438, 0.2622448
24, 62, 2783147, 0.26168823
24, 63, 2946721, 0.26098084
24, 64, 2988177, 0.26012993
24, 65, 3587910, 0.25988334
24, 66, 3474342, 0.25864097
24, 67, 2702053, 0.2573793
24, 68, 2987927, 0.2567548
24, 69, 3523894, 0.2561081
24, 70, 3540710, 0.25597662
24, 71, 3162766, 0.25590748
24, 72, 3189108, 0.2549861
24, 73, 2860402, 0.25341284
24, 74, 2644318, 0.25340244
24, 75, 3102491, 0.2527616
24, 76, 2803992, 0.25240007
24, 77, 3448227, 0.25237674
24, 78, 3336229, 0.2522949
24, 79, 2657235, 0.24954516
24, 80, 2769466, 0.24931484
24, 81, 3350193, 0.2487955
24, 82, 2846933, 0.24733928
24, 83, 3775201, 0.24729808
24, 84, 2967697, 0.24693568
24, 85, 2783122, 0.2462102
24, 86, 3161475, 0.2458074
24, 87, 3762010, 0.2457873
24, 88, 1791015, 0.24544697
24, 89, 2827098, 0.24516408
24, 90, 3378931, 0.24363539
24, 91, 3519024, 0.24341567
24, 92, 3056330, 0.24314836
24, 93, 2878709, 0.24269353
24, 94, 2876700, 0.2415154
24, 95, 3722986, 0.24134737
24, 96, 3259051, 0.24133238
24, 97, 2853047, 0.2412666
24, 98, 3436637, 0.24096273
24, 99, 2711062, 0.24077839
24, 100, 2840603, 0.24067171
24, 101, 2526478, 0.24032243
24, 102, 3421969, 0.2396162
24, 103, 3426013, 0.23913586
24, 104, 3133999, 0.23807272
24, 105, 3686605, 0.23796615
24, 106, 3322929, 0.2376397
24, 107, 3310633, 0.2360197
24, 108, 3876310, 0.2358356
24, 109, 2783075, 0.23578261
24, 110, 3649270, 0.23565792
24, 111, 3461613, 0.23533224
24, 112, 2740000, 0.234514
24, 113, 2883195, 0.23387593
24, 114, 3789280, 0.2334963
24, 115, 3307463, 0.23266049
24, 116, 2892668, 0.23228058
24, 117, 3555598, 0.23193038
24, 118, 3311447, 0.2317906
24, 119, 2874368, 0.23140253
24, 120, 3109763, 0.23050138
24, 121, 3190470, 0.22952744
24, 122, 3015345, 0.22899707
24, 123, 2828091, 0.22793256
24, 124, 2836290, 0.22751921
24, 125, 3523543, 0.22750168
24, 126, 280706, 0.22686696
24, 127, 2615763, 0.22663143
24, 128, 2990464, 0.2264346
24, 129, 3793530, 0.22590038
24, 130, 3690704, 0.22545877
24, 131, 3286783, 0.2242933
24, 132, 2783053, 0.2242674
24, 133, 3807838, 0.22423124
24, 134, 3146132, 0.22422412
24, 135, 2636786, 0.22411425
24, 136, 3468117, 0.22407119
24, 137, 2987954, 0.22398815
24, 138, 3342739, 0.22324513
24, 139, 3568868, 0.222956
24, 140, 3859033, 0.22283645
24, 141, 3884627, 0.2222424
24, 142, 1474397, 0.22214568
24, 143, 2854726, 0.22122215
24, 144, 3004609, 0.22108243
24, 145, 3376884, 0.22095792
24, 146, 3279506, 0.22085488
24, 147, 3276037, 0.22079569
24, 148, 2672212, 0.2203621
24, 149, 3424872, 0.22030862
24, 150, 3291424, 0.21939151
24, 151, 3562643, 0.21900299
24, 152, 3124326, 0.21809138
24, 153, 3104646, 0.21794857
24, 154, 3506076, 0.21769646
24, 155, 3385367, 0.21648665
24, 156, 3874924, 0.21627724
24, 157, 1459932, 0.21604864
24, 158, 3782506, 0.21576461
24, 159, 3463087, 0.21547611
24, 160, 3099517, 0.21521622
24, 161, 3037981, 0.21447647
24, 162, 3444921, 0.21428728
24, 163, 2851673, 0.21420625
24, 164, 3182831, 0.21400928
24, 165, 3564029, 0.21351363
24, 166, 3712158, 0.21343291
24, 167, 3132325, 0.21327688
24, 168, 3233373, 0.21322511
24, 169, 3179729, 0.21308064
24, 170, 3177941, 0.21285726
24, 171, 30713, 0.21267264
24, 172, 2483992, 0.21261118
24, 173, 2732065, 0.21251492
24, 174, 2850863, 0.21240836
24, 175, 3863515, 0.21218221
24, 176, 2769311, 0.21195556
24, 177, 3542785, 0.21193005
24, 178, 3849624, 0.21178122
24, 179, 3168384, 0.21161136
24, 180, 2784986, 0.21153288
24, 181, 3870642, 0.21116526
24, 182, 3180752, 0.21103029
24, 183, 2909991, 0.21087691
24, 184, 3350092, 0.21034814
24, 185, 3619046, 0.21026392
24, 186, 2732101, 0.21014836
24, 187, 2721938, 0.20980814
24, 188, 3046006, 0.20950355
24, 189, 3488388, 0.20947471
24, 190, 3751499, 0.20924339
24, 191, 3439789, 0.20899838
24, 192, 3420455, 0.20881982
24, 193, 2198914, 0.20851418
24, 194, 2799965, 0.2083021
24, 195, 3626910, 0.20809838
24, 196, 2644295, 0.20779604
24, 197, 526771, 0.20779209
24, 198, 2850857, 0.2074496
24, 199, 3453488, 0.20673989
24, 200, 2958974, 0.20613468
24, 201, 3343246, 0.20610999
24, 202, 2772988, 0.20590076
24, 203, 3841700, 0.20562127
24, 204, 1770929, 0.20553723
24, 205, 3420703, 0.20539677
24, 206, 3364454, 0.20489573
24, 207, 3446065, 0.20457482
24, 208, 2957620, 0.20424691
24, 209, 3193803, 0.20421089
24, 210, 2584649, 0.20414612
24, 211, 3201100, 0.203908
24, 212, 3506106, 0.20350164
24, 213, 3250660, 0.20339078
24, 214, 3616142, 0.20302051
24, 215, 2737789, 0.20298398
24, 216, 2628172, 0.20296247
24, 217, 3804820, 0.20270252
24, 218, 3085223, 0.20235744
24, 219, 2769399, 0.20210122
24, 220, 3775203, 0.20208311
24, 221, 3322185, 0.20193245
24, 222, 2222671, 0.20159315
24, 223, 3159297, 0.20157284
24, 224, 3019340, 0.20131484
24, 225, 3539336, 0.20109968
24, 226, 3266641, 0.20105359
24, 227, 2891799, 0.20095165
24, 228, 3354493, 0.20076342
24, 229, 2808613, 0.20055622
24, 230, 3213717, 0.20009775
24, 231, 3775019, 0.19999126
24, 232, 2741488, 0.19990915
24, 233, 3610457, 0.1998245
24, 234, 3590570, 0.19974862
24, 235, 3457600, 0.19959544
24, 236, 3355351, 0.19939727
24, 237, 2918831, 0.19933689
24, 238, 3002921, 0.19927518
24, 239, 3891074, 0.19887383
24, 240, 3470279, 0.19883496
24, 241, 3015305, 0.1986264
24, 242, 1920530, 0.19844888
24, 243, 2954381, 0.19766822
24, 244, 2984347, 0.19766353
24, 245, 2908657, 0.19721557
24, 246, 3535729, 0.1970324
24, 247, 1892149, 0.19692148
24, 248, 3510284, 0.19687498
24, 249, 3236154, 0.19686069
24, 250, 3033242, 0.1968293
24, 251, 2918633, 0.19604634
24, 252, 3530861, 0.19584031
24, 253, 3266655, 0.1957606
24, 254, 3335556, 0.19544338
24, 255, 2732092, 0.1953536
24, 256, 3841477, 0.19530606
24, 257, 3519516, 0.19511214
24, 258, 3574827, 0.19509053
24, 259, 1065094, 0.19482294
24, 260, 3153143, 0.1947523
24, 261, 3276041, 0.19465639
24, 262, 3568726, 0.19457935
24, 263, 3328892, 0.19444618
24, 264, 3279509, 0.1937153
24, 265, 3311442, 0.19355252
24, 266, 2323011, 0.19276848
24, 267, 1464140, 0.19254412
24, 268, 2800058, 0.19239844
24, 269, 3378720, 0.19238913
24, 270, 3289185, 0.19232191
24, 271, 3883399, 0.19226256
24, 272, 2790738, 0.1921986
24, 273, 3616185, 0.19206882
24, 274, 3809316, 0.19175896
24, 275, 2808565, 0.19168183
24, 276, 3395170, 0.19162166
24, 277, 3884115, 0.19160321
24, 278, 2803953, 0.19151805
24, 279, 2902217, 0.19088827
24, 280, 3861246, 0.19071834
24, 281, 3154170, 0.19054255
24, 282, 545936, 0.19052663
24, 283, 3311181, 0.1900308
24, 284, 3619691, 0.18962657
24, 285, 3424867, 0.18944904
24, 286, 2390549, 0.18928081
24, 287, 2740308, 0.18916032
24, 288, 2546434, 0.18890423
24, 289, 3097723, 0.18853925
24, 290, 2803902, 0.18853188
24, 291, 3383253, 0.18799964
24, 292, 3519030, 0.18763086
24, 293, 3544070, 0.18748783
24, 294, 3789283, 0.18746138
24, 295, 3090107, 0.1873759
24, 296, 2082036, 0.18718961
24, 297, 3596900, 0.18708593
24, 298, 2900127, 0.18705924
24, 299, 3299121, 0.18670419
24, 300, 3658225, 0.18669868
24, 301, 3286780, 0.1866716
24, 302, 3325738, 0.18665463
24, 303, 2988170, 0.18649091
24, 304, 3219653, 0.18642804
24, 305, 3671823, 0.18638484
24, 306, 3463912, 0.18637344
24, 307, 2840593, 0.18635814
24, 308, 3792541, 0.18633842
24, 309, 2632616, 0.18630165
24, 310, 3177592, 0.18617348
24, 311, 2938518, 0.18616463
24, 312, 3377404, 0.18612173
24, 313, 3820621, 0.18580328
24, 314, 1257651, 0.1857894
24, 315, 3697146, 0.18555109
24, 316, 2769317, 0.18554579
24, 317, 3492376, 0.18516941
24, 318, 2904789, 0.18492235
24, 319, 3502108, 0.18442175
24, 320, 3161662, 0.1842557
24, 321, 3236007, 0.18376486
24, 322, 3808952, 0.18374127
24, 323, 2607303, 0.18350917
24, 324, 3290550, 0.18348518
24, 325, 3337583, 0.1830212
24, 326, 3259402, 0.18261236
24, 327, 3671146, 0.1819712
24, 328, 2935975, 0.18187422
24, 329, 3140038, 0.18187214
24, 330, 3748665, 0.18184283
24, 331, 3605489, 0.18166482
24, 332, 3765411, 0.18157415
24, 333, 2672290, 0.18156733
24, 334, 3714086, 0.18149891
24, 335, 3213680, 0.18125722
24, 336, 3557185, 0.18119045
24, 337, 2990233, 0.18109354
24, 338, 3291454, 0.18093038
24, 339, 2894487, 0.18091892
24, 340, 2917397, 0.18049881
24, 341, 2824875, 0.18007483
24, 342, 3336219, 0.17996597
24, 343, 3542889, 0.17992543
24, 344, 3680866, 0.17984334
24, 345, 3876647, 0.17983012
24, 346, 3487722, 0.17971937
24, 347, 3038627, 0.17971824
24, 348, 2802352, 0.17971173
24, 349, 3529714, 0.17966889
24, 350, 3233371, 0.17965798
24, 351, 3341425, 0.1794939
24, 352, 3274713, 0.17942259
24, 353, 3633282, 0.17866465
24, 354, 3700969, 0.17859451
24, 355, 2259431, 0.17838131
24, 356, 3167581, 0.17829698
24, 357, 3320293, 0.17815802
24, 358, 3491309, 0.17815535
24, 359, 3128727, 0.17813621
24, 360, 3812098, 0.17812786
24, 361, 2939501, 0.17801178
24, 362, 3214307, 0.17801036
24, 363, 3335667, 0.17776684
24, 364, 1657024, 0.17767596
24, 365, 3336243, 0.17735088
24, 366, 2749010, 0.17724684
24, 367, 2660683, 0.1770372
24, 368, 3543544, 0.17700784
