rank, pmcid, score
1, 3311149, 0.58793104
2, 3531933, 0.57627726
3, 2547099, 0.54517573
4, 3389956, 0.5323961
5, 3446186, 0.5145442
6, 3177789, 0.5132343
7, 2366066, 0.4953398
8, 3708448, 0.49355885
9, 3807715, 0.49222866
10, 2854356, 0.47482166
11, 3584101, 0.46499032
12, 3178148, 0.46125567
13, 3238497, 0.45889005
14, 3527175, 0.4510602
15, 2944799, 0.45094162
16, 1459868, 0.44673315
17, 3612492, 0.443989
18, 3735339, 0.440963
19, 3310634, 0.43679982
20, 3664367, 0.43505472
21, 3517431, 0.43210402
22, 2949589, 0.4307531
23, 3154385, 0.4272624
24, 3430626, 0.42581493
25, 1929122, 0.4243433
26, 3726751, 0.42422748
27, 2778773, 0.42278713
28, 3164421, 0.4213345
29, 3100676, 0.42126796
30, 3088002, 0.42013395
31, 3580454, 0.4135672
32, 3657696, 0.4132017
33, 3548359, 0.41205087
34, 3181915, 0.41197905
35, 3580398, 0.40910697
36, 3573064, 0.4010551
37, 3880091, 0.39995763
38, 3885875, 0.3970718
39, 3377360, 0.3966599
40, 3521923, 0.39009324
41, 3469807, 0.38978648
42, 2638813, 0.38649958
43, 3868168, 0.38437098
44, 3469561, 0.3840903
45, 3558377, 0.38379505
46, 2925387, 0.3831309
47, 3026935, 0.38087416
48, 2702832, 0.3778593
49, 3523159, 0.37767375
50, 2877241, 0.37384975
51, 3486423, 0.3730741
52, 2732166, 0.3723693
53, 3853434, 0.36919147
54, 3815212, 0.36895633
55, 3724094, 0.3671462
56, 3074332, 0.36689597
57, 3853164, 0.3649169
58, 3142777, 0.36432123
59, 2235848, 0.36257932
60, 3286330, 0.3619393
61, 3544320, 0.36115715
62, 2672188, 0.35995007
63, 3770910, 0.35729876
64, 3650008, 0.3557999
65, 3243637, 0.35546124
66, 3087473, 0.35488018
67, 3677000, 0.3540805
68, 3015204, 0.3521151
69, 3132518, 0.35169291
70, 3869913, 0.35034332
71, 3181626, 0.34957594
72, 3509715, 0.34457225
73, 1774568, 0.34416312
74, 2811980, 0.3416456
75, 3400496, 0.34021118
76, 3139171, 0.33922088
77, 3818844, 0.3377824
78, 2663463, 0.33472314
79, 3778250, 0.3323102
