rank, pmcid, score
1, 3309219, 0.48294806
2, 3517709, 0.4686725
3, 1891757, 0.45608124
4, 2329635, 0.4029426
5, 3263743, 0.3920765
6, 2613968, 0.38816378
7, 3445101, 0.38476795
8, 3809875, 0.3829877
9, 2427168, 0.38070676
10, 493281, 0.37816986
11, 3411311, 0.37304154
12, 3431956, 0.36770993
13, 2322920, 0.35972703
14, 2990904, 0.35507625
15, 2730014, 0.34888598
16, 3683218, 0.34161878
17, 3549483, 0.3347537
18, 3040157, 0.33136833
19, 3853474, 0.3304991
20, 517502, 0.32676566
21, 3276006, 0.3265231
22, 3372523, 0.3168144
23, 3082804, 0.31067201
24, 2974929, 0.30935234
25, 3869728, 0.30761394
26, 3383338, 0.3036163
27, 2289820, 0.301675
28, 2728188, 0.301466
29, 3513203, 0.3006243
30, 193734, 0.29843953
31, 3141385, 0.29464206
32, 2685264, 0.2937982
33, 2627277, 0.29213417
34, 2682380, 0.2864459
35, 3700249, 0.28603306
36, 3604583, 0.28028512
37, 2686338, 0.27429396
38, 2931762, 0.27296442
39, 3019752, 0.2704567
40, 3034724, 0.26338843
41, 2546475, 0.26228082
42, 3131985, 0.26041582
43, 2546467, 0.25099638
44, 3349016, 0.25088128
45, 3648838, 0.24992825
46, 3354839, 0.2460248
47, 3095799, 0.24541855
48, 3235275, 0.24141495
49, 2817938, 0.24005358
50, 3102469, 0.23811796
51, 3826318, 0.23528792
52, 3736485, 0.23497514
53, 2899785, 0.23351935
54, 3817709, 0.2285712
55, 3657072, 0.22714166
56, 2991035, 0.22684976
57, 3174297, 0.22637552
58, 2267485, 0.22596702
59, 3196031, 0.22548762
60, 1661644, 0.22483167
61, 2703233, 0.22308771
62, 2685263, 0.22005017
63, 3603196, 0.21971746
64, 2797589, 0.21941276
65, 270023, 0.21811138
66, 2040183, 0.21702595
67, 2763167, 0.2165058
68, 3017316, 0.21650387
69, 3721905, 0.2154471
70, 3289774, 0.2152671
71, 3401002, 0.2151754
72, 2948330, 0.21396422
73, 3216554, 0.21365596
74, 1298328, 0.21137607
75, 2323530, 0.21119657
76, 270718, 0.21001446
77, 3584899, 0.20966746
78, 2727882, 0.20910892
79, 3232638, 0.20832805
80, 2940796, 0.20804484
81, 3571650, 0.20772521
82, 3546323, 0.20622723
